,CD_UNIDADE,DESC_UNIDADE,CD_EQUIPAMENTO,CD_OPERADOR,DT_HORA_INI,DT_HORA_FIM,CD_OPERACAO,DESC_OPERACAO,CD_GRP_OPERACAO,DESC_GRP_OPERACAO,VL_HR_OPERACIONAL,CD_FAZENDA,CD_GRP_EQUIPAMENTO,DESC_GRP_EQUIPAMENTO,VL_VELOCIDADE_MEDIA,CD_TP_EQUIPAMENTO,INFA_EXT_DT,VL_ESPACAMENTO_IMPLEMENTO,DESC_APLICACAO,HORA_INI,HORA_FIM,Personalizar
578,3,ITUIUTABA,36316,33583,2021-10-29T09:23:04.0000000,2021-10-29T09:23:15.0000000,632,DESLOC CARREG TRANSB CARREADOR,53,PRODUTIVA,0.0031,4250,3,303 - FRT COLHEITA MECANIZADA ITT,5.4,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
579,4,ITUMBIARA,46443,18496,2021-10-29T09:22:04.0000000,2021-10-29T09:23:15.0000000,1055,MANOBRA,53,PRODUTIVA,0.0197,4277,21,401 - FRT COLHEITA MECANIZADA ITB,3.78,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
580,3,ITUIUTABA,36326,32253,2021-10-29T09:23:13.0000000,2021-10-29T09:23:14.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.0003,4113,1,301 - FRT COLHEITA MECANIZADA ITT,0.0,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
581,3,ITUIUTABA,36270,550855,2021-10-29T09:22:58.0000000,2021-10-29T09:23:14.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0044,4051,2,302 - FRT COLHEITA MECANIZADA ITT,5.65,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
582,3,ITUIUTABA,36244,20864,2021-10-29T09:13:47.0000000,2021-10-29T09:23:13.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.1572,4113,1,301 - FRT COLHEITA MECANIZADA ITT,5.59,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
583,3,ITUIUTABA,36326,32253,2021-10-29T09:13:26.0000000,2021-10-29T09:23:13.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.1631,4113,1,301 - FRT COLHEITA MECANIZADA ITT,5.48,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
584,3,ITUIUTABA,36316,33583,2021-10-29T09:22:03.0000000,2021-10-29T09:23:04.0000000,632,DESLOC CARREG TRANSB CARREADOR,53,PRODUTIVA,0.0169,4250,3,303 - FRT COLHEITA MECANIZADA ITT,5.41,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
585,3,ITUIUTABA,38866,999999,2021-10-29T09:18:09.0000000,2021-10-29T09:23:03.0000000,820,PATIO/BATE VOLTA,6051,PERDIDA,0.0817,0,20,CAM CANAVIEIRO ESCRAVO ITT,0.0,3,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
586,3,ITUIUTABA,36279,550059,2021-10-29T09:22:48.0000000,2021-10-29T09:23:00.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.0033,4051,2,302 - FRT COLHEITA MECANIZADA ITT,8.25,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
587,3,ITUIUTABA,36270,550855,2021-10-29T09:22:54.0000000,2021-10-29T09:22:58.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0011,4051,2,302 - FRT COLHEITA MECANIZADA ITT,3.33,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
588,3,ITUIUTABA,36291,550192,2021-10-29T09:22:24.0000000,2021-10-29T09:22:55.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0086,4051,2,302 - FRT COLHEITA MECANIZADA ITT,5.64,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
589,3,ITUIUTABA,36270,550855,2021-10-29T09:22:14.0000000,2021-10-29T09:22:54.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0111,4051,2,302 - FRT COLHEITA MECANIZADA ITT,6.04,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
590,3,ITUIUTABA,36271,10135,2021-10-29T09:21:49.0000000,2021-10-29T09:22:52.0000000,1055,MANOBRA,53,PRODUTIVA,0.0175,4250,3,303 - FRT COLHEITA MECANIZADA ITT,1.96,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
591,3,ITUIUTABA,36279,550059,2021-10-29T09:22:43.0000000,2021-10-29T09:22:48.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.0014,4051,2,302 - FRT COLHEITA MECANIZADA ITT,5.63,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
592,3,ITUIUTABA,36273,35550,2021-10-29T09:22:10.0000000,2021-10-29T09:22:44.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.0094,4051,2,302 - FRT COLHEITA MECANIZADA ITT,3.97,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
593,3,ITUIUTABA,36279,550059,2021-10-29T09:22:04.0000000,2021-10-29T09:22:43.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.0108,4051,2,302 - FRT COLHEITA MECANIZADA ITT,7.08,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
594,6,TROPICAL,63892,99999,2021-10-29T09:20:42.0000000,2021-10-29T09:22:35.0000000,634,BASCULANDO / TRANSBORDAGEM,53,PRODUTIVA,0.0314,4019,605,605 - FRT COLHEITA MECANIZADA TRP,3.71,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
595,6,TROPICAL,63375,99999,2021-10-29T09:21:19.0000000,2021-10-29T09:22:34.0000000,803,CHUVA/VENTO/UMIDADE/TEMPERATURA,50,INAPTIDAO,0.0208,4201,606,606 - FRT COLHEITA  MECANIZADA TRP,0.0,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
596,3,ITUIUTABA,36310,550115,2021-10-29T09:21:06.0000000,2021-10-29T09:22:29.0000000,834,FALTA DE APONTAMENTO,6051,PERDIDA,0.0231,4250,3,303 - FRT COLHEITA MECANIZADA ITT,0.0,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
597,6,TROPICAL,63895,34252,2021-10-29T09:22:11.0000000,2021-10-29T09:22:29.0000000,834,FALTA DE APONTAMENTO,6051,PERDIDA,0.005,4019,605,605 - FRT COLHEITA MECANIZADA TRP,0.0,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
598,6,TROPICAL,63370,335272,2021-10-29T09:16:10.0000000,2021-10-29T09:22:27.0000000,834,FALTA DE APONTAMENTO,6051,PERDIDA,0.1047,4201,606,606 - FRT COLHEITA  MECANIZADA TRP,5.48,57,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
599,3,ITUIUTABA,36291,550192,2021-10-29T09:20:12.0000000,2021-10-29T09:22:24.0000000,632,DESLOC CARREG TRANSB CARREADOR,53,PRODUTIVA,0.0367,4051,2,302 - FRT COLHEITA MECANIZADA ITT,0.0,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
